id,book,chapter,verse,txt,obj_cl_kind,obj_verb,obj_stemf,obj_tense,carc,tr_verb,tr_stemf,tr_tense,conj
426576,Genesis,1,4,N,VC,VWB[,qal,perf,527,R>H[,qal,wayq,KJ
426602,Genesis,1,10,N,VC,VWB[,qal,perf,527,R>H[,qal,wayq,KJ
426614,Genesis,1,12,N,VC,VWB[,qal,perf,527,R>H[,qal,wayq,KJ
426634,Genesis,1,18,N,VC,VWB[,qal,perf,527,R>H[,qal,wayq,KJ
426647,Genesis,1,21,N,VC,VWB[,qal,perf,527,R>H[,qal,wayq,KJ
426665,Genesis,1,25,N,VC,VWB[,qal,perf,527,R>H[,qal,wayq,KJ
426803,Genesis,3,5,Q,WP,no_verb,no_verb,no_verb,506,JD<[,qal,ptca,KJ
426809,Genesis,3,6,N,NC,no_verb,no_verb,no_verb,507,R>H[,qal,wayq,KJ
426819,Genesis,3,7,N,NC,no_verb,no_verb,no_verb,507,JD<[,qal,wayq,KJ
426835,Genesis,3,11,Q,NC,no_verb,no_verb,no_verb,502,NGD[,hif,perf,KJ
427080,Genesis,6,2,N,NC,no_verb,no_verb,no_verb,507,R>H[,qal,wayq,KJ
427095,Genesis,6,5,N,NC,no_verb,no_verb,no_verb,507,R>H[,qal,wayq,KJ
427245,Genesis,8,11,N,VC,QLL[,qal,perf,527,JD<[,qal,wayq,KJ
427569,Genesis,12,11,Q,NC,no_verb,no_verb,no_verb,502,JD<[,qal,perf,KJ
427583,Genesis,12,14,N,NC,no_verb,no_verb,no_verb,507,R>H[,qal,wayq,KJ
427594,Genesis,12,18,Q,NC,no_verb,no_verb,no_verb,502,NGD[,hif,perf,KJ
427633,Genesis,13,10,N,NC,no_verb,no_verb,no_verb,507,R>H[,qal,wayq,KJ
427701,Genesis,14,14,N,VC,CBH[,nif,perf,527,CM<[,qal,wayq,KJ
427779,Genesis,15,8,Q,VC,JRC[,qal,impf,511,JD<[,qal,impf,KJ
427795,Genesis,15,13,Q,VC,HJH[,qal,impf,511,JD<[,qal,impf,KJ
427832,Genesis,16,4,N,VC,HRH[,qal,perf,527,R>H[,qal,wayq,KJ
427838,Genesis,16,5,N,VC,HRH[,qal,perf,527,R>H[,qal,wayq,KJ
428321,Genesis,20,6,Q,VC,<FH[,qal,perf,522,JD<[,qal,perf,KJ
428333,Genesis,20,7,Q,VC,MWT[,qal,impf,513,JD<[,qal,impv,KJ
428348,Genesis,20,10,Q,VC,<FH[,qal,perf,522,R>H[,qal,perf,KJ
428562,Genesis,22,12,Q,NC,no_verb,no_verb,no_verb,502,JD<[,qal,perf,KJ
428735,Genesis,24,14,Q,VC,<FH[,qal,perf,521,JD<[,qal,impf,KJ
429201,Genesis,26,28,Q,VC,HJH[,qal,perf,522,R>H[,qal,perf,KJ
429481,Genesis,28,6,N,VC,BRK[,piel,perf,527,R>H[,qal,wayq,KJ
429491,Genesis,28,8,N,NC,no_verb,no_verb,no_verb,507,R>H[,qal,wayq,KJ
429606,Genesis,29,12,N,NC,no_verb,no_verb,no_verb,507,NGD[,hif,wayq,KJ
429672,Genesis,29,31,N,NC,no_verb,no_verb,no_verb,507,R>H[,qal,wayq,KJ
429685,Genesis,29,33,Q,NC,no_verb,no_verb,no_verb,502,CM<[,qal,perf,KJ
429702,Genesis,30,1,N,VC,JLD[,qal,perf,527,R>H[,qal,wayq,KJ
429733,Genesis,30,9,N,VC,<MD[,qal,perf,527,R>H[,qal,wayq,KJ
429884,Genesis,31,5,Q,NC,no_verb,no_verb,no_verb,506,R>H[,qal,ptca,KJ
429887,Genesis,31,6,Q,VC,<BD[,qal,perf,522,JD<[,qal,perf,KJ
429947,Genesis,31,20,N,VC,BRX[,qal,ptca,562,NGD[,hif,perf,KJ
429999,Genesis,31,32,N,VC,GNB[,qal,perf,522,JD<[,qal,perf,KJ
430198,Genesis,32,26,N,VC,JKL[,qal,perf,527,R>H[,qal,wayq,KJ
430332,Genesis,34,5,N,VC,VM>[,piel,perf,522,CM<[,qal,perf,KJ
430662,Genesis,37,4,N,VC,>HB[,qal,perf,527,R>H[,qal,wayq,KJ
430848,Genesis,38,9,N,VC,HJH[,qal,impf,517,JD<[,qal,wayq,KJ
430877,Genesis,38,14,N,VC,GDL[,qal,perf,522,R>H[,qal,perf,KJ
430887,Genesis,38,16,N,NC,no_verb,no_verb,no_verb,502,JD<[,qal,perf,KJ
430976,Genesis,39,3,N,NC,no_verb,no_verb,no_verb,507,R>H[,qal,wayq,KJ
